recorded_at_utc,participant_id,task_id,condition,correct,seconds,limit_seconds,model_id,protocol_version
2026-09-22T20:22:17.426631+00:00,U001,A1,manual,1,486.255,180,manual,sep22_v1
2026-09-22T20:32:24.012307+00:00,U001,B1,clauseguard,0,16.884,180,04713fbf6e23784a5d32e5cdd5fef459182408565bfe8a4fb6a9f10d53dbff76,sep22_v1
